"Time";"Displacement"
"2020-12-03T00:08";8191
"2020-12-03T00:13";8191
"2020-12-03T00:24";8191
"2020-12-03T00:29";8191
"2020-12-03T00:34";8191
"2020-12-03T00:39";8191
"2020-12-03T00:44";8191
"2020-12-03T00:49";8191
"2020-12-03T00:54";8191
"2020-12-03T00:59";8191
"2020-12-03T01:04";8191
"2020-12-03T01:10";8191
"2020-12-03T01:15";8191
"2020-12-03T01:20";8191
"2020-12-03T01:25";8191
"2020-12-03T01:30";8191
"2020-12-03T01:35";8191
"2020-12-03T01:40";8191
"2020-12-03T01:45";8191
"2020-12-03T01:50";8191
"2020-12-03T01:55";8191
"2020-12-03T02:01";8191
"2020-12-03T02:06";8191
"2020-12-03T02:11";8191
"2020-12-03T02:16";8191
"2020-12-03T02:21";8191
"2020-12-03T02:26";8191
"2020-12-03T02:31";8191
"2020-12-03T02:36";8191
"2020-12-03T02:42";8191
"2020-12-03T02:47";8191
"2020-12-03T02:52";8191
"2020-12-03T02:57";8191
"2020-12-03T03:02";8191
"2020-12-03T03:07";8191
"2020-12-03T03:12";8191
"2020-12-03T03:17";8191
"2020-12-03T03:23";8191
"2020-12-03T03:28";8191
"2020-12-03T03:33";8191
"2020-12-03T03:38";8191
"2020-12-03T03:43";8191
"2020-12-03T03:48";8191
"2020-12-03T03:53";8191
"2020-12-03T03:58";8191
"2020-12-03T04:03";8191
"2020-12-03T04:09";8191
"2020-12-03T04:14";8191
"2020-12-03T04:19";8191
"2020-12-03T04:24";8191
"2020-12-03T04:29";8191
"2020-12-03T04:34";8191
"2020-12-03T04:43";8191
"2020-12-03T04:48";8191
"2020-12-03T04:53";8191
"2020-12-03T04:58";8191
"2020-12-03T05:03";8191
"2020-12-03T05:08";8191
"2020-12-03T05:13";8191
"2020-12-03T05:19";8191
"2020-12-03T05:24";8191
"2020-12-03T05:29";8191
"2020-12-03T05:34";8191
"2020-12-03T05:39";8191
"2020-12-03T05:44";8191
"2020-12-03T05:49";8191
"2020-12-03T05:54";8191
"2020-12-03T06:00";8191
"2020-12-03T06:05";8191
"2020-12-03T06:10";8191
"2020-12-03T06:15";8191
"2020-12-03T06:20";8191
"2020-12-03T06:25";8191
"2020-12-03T06:30";8191
"2020-12-03T06:35";8191
"2020-12-03T06:40";8191
"2020-12-03T06:45";8191
"2020-12-03T06:51";8191
"2020-12-03T06:56";8191
"2020-12-03T07:01";8191
"2020-12-03T07:06";8191
"2020-12-03T07:11";8191
"2020-12-03T07:16";8191
"2020-12-03T07:21";8191
"2020-12-03T07:26";8191
"2020-12-03T07:32";8191
"2020-12-03T07:37";8191
"2020-12-03T07:42";8191
"2020-12-03T07:47";8191
"2020-12-03T07:52";8191
"2020-12-03T07:57";8191
"2020-12-03T08:02";8191
"2020-12-03T08:07";8191
"2020-12-03T08:13";8191
"2020-12-03T08:18";8191
"2020-12-03T08:23";8191
"2020-12-03T08:28";8191
"2020-12-03T08:38";8191
"2020-12-03T08:43";8191
"2020-12-03T08:48";8191
"2020-12-03T08:54";8191
"2020-12-03T08:59";8191
"2020-12-03T09:04";8191
"2020-12-03T09:09";8191
"2020-12-03T09:14";8191
"2020-12-03T09:19";8191
"2020-12-03T09:24";8191
"2020-12-03T09:29";8191
"2020-12-03T09:34";8191
"2020-12-03T09:40";8191
"2020-12-03T09:45";8191
"2020-12-03T09:50";8191
"2020-12-03T09:55";8191
"2020-12-03T10:00";8191
"2020-12-03T10:05";8191
"2020-12-03T10:10";8191
"2020-12-03T10:15";8191
"2020-12-03T10:26";8191
"2020-12-03T10:31";8191
"2020-12-03T10:36";8191
"2020-12-03T10:41";8191
"2020-12-03T10:46";8191
"2020-12-03T10:51";8191
"2020-12-03T10:56";8191
"2020-12-03T11:01";8191
"2020-12-03T11:07";8191
"2020-12-03T11:12";8191
"2020-12-03T11:17";8191
"2020-12-03T11:22";8191
"2020-12-03T11:27";8191
"2020-12-03T11:32";8191
"2020-12-03T11:37";8191
"2020-12-03T11:42";8191
"2020-12-03T11:47";8191
"2020-12-03T11:53";8191
"2020-12-03T11:58";8191
"2020-12-03T12:03";8191
"2020-12-03T12:08";8191
"2020-12-03T12:13";8191
"2020-12-03T12:18";8191
"2020-12-03T12:23";8191
"2020-12-03T12:28";8191
"2020-12-03T12:39";8191
"2020-12-03T12:44";8191
"2020-12-03T12:49";8191
"2020-12-03T12:54";8191
"2020-12-03T12:59";17
"2020-12-03T13:04";24
"2020-12-03T13:09";28
"2020-12-03T13:14";26
"2020-12-03T13:19";22
"2020-12-03T13:25";16
"2020-12-03T13:30";21
"2020-12-03T13:35";16
"2020-12-03T13:40";14
"2020-12-03T13:45";15
"2020-12-03T13:50";18
"2020-12-03T13:55";25
"2020-12-03T14:00";21
"2020-12-03T14:06";19
"2020-12-03T14:11";20
"2020-12-03T14:16";27
"2020-12-03T14:21";23
"2020-12-03T14:26";22
"2020-12-03T14:31";21
"2020-12-03T14:36";22
"2020-12-03T14:41";33
"2020-12-03T14:46";21
"2020-12-03T14:52";18
"2020-12-03T14:57";20
"2020-12-03T15:02";24
"2020-12-03T15:07";26
"2020-12-03T15:12";28
"2020-12-03T15:17";25
"2020-12-03T15:22";23
"2020-12-03T15:28";27
"2020-12-03T15:33";30
"2020-12-03T15:38";24
"2020-12-03T15:43";22
"2020-12-03T15:48";25
"2020-12-03T15:53";26
"2020-12-03T15:58";22
"2020-12-03T16:03";18
"2020-12-03T16:09";32
"2020-12-03T16:14";23
"2020-12-03T16:19";25
"2020-12-03T16:24";8191
"2020-12-03T16:29";8191
"2020-12-03T16:34";8191
"2020-12-03T16:39";24
"2020-12-03T16:44";25
"2020-12-03T16:50";22
"2020-12-03T16:55";30
"2020-12-03T17:00";25
"2020-12-03T17:05";27
"2020-12-03T17:10";25
"2020-12-03T17:15";22
"2020-12-03T17:20";20
"2020-12-03T17:26";24
"2020-12-03T17:31";18
"2020-12-03T17:36";21
"2020-12-03T17:41";19
"2020-12-03T17:46";21
"2020-12-03T17:51";23
"2020-12-03T17:56";30
